listener server S1 1
0.83,100,0
4.5633333333333335,100,1
5.363333333333334,100,2
7.496666666666668,100,3
8.296666666666669,100,4
10.430000000000001,100,5
12.563333333333334,100,6
14.696666666666667,100,7
16.830000000000002,100,8
18.963333333333335,100,9
21.096666666666668,100,10
23.23,100,11
25.363333333333333,100,12
27.496666666666666,100,13
29.63,100,14
31.763333333333332,100,15
33.89666666666666,100,16
36.029999999999994,100,17
38.16333333333333,100,18
40.29666666666666,100,19
42.42999999999999,100,20
44.563333333333325,100,21
46.69666666666666,100,22
48.82999999999999,100,23
50.963333333333324,100,24
53.09666666666666,100,25
55.22999999999999,100,26
57.36333333333332,100,27
59.496666666666655,100,28
61.62999999999999,100,29
63.76333333333332,100,30
65.89666666666666,100,31
68.03,100,32
70.16333333333334,100,33
72.29666666666668,100,34
74.43000000000002,100,35
76.56333333333336,100,36
78.6966666666667,100,37
80.83000000000004,100,38
82.96333333333338,100,39
85.09666666666672,100,40
87.23000000000006,100,41
89.3633333333334,100,42
91.49666666666674,100,43
93.63000000000008,100,44
95.76333333333342,100,45
97.89666666666676,100,46
