listener server S1 1
2.4448083841805976,200,0
4.519345859024685,200,2
6.1869759423521185,200,4
8.863254994776625,200,6
11.020688030300601,200,8
12.704448001376228,200,10
15.266472316424228,200,12
16.97017174982016,200,14
19.161748792692237,200,16
21.802125658232164,200,18
24.019216271102206,200,20
25.649569271861896,200,22
28.293315927082073,200,24
30.012341400794345,200,26
32.07533203601098,200,28
34.7538844706743,200,30
36.99203612997081,200,32
39.02986200075858,200,34
41.198622220689316,200,36
42.936841765842324,200,38
45.548077644963904,200,40
47.71305421630912,200,42
49.38651874483149,200,44
51.501341253543956,200,46
54.21833101359514,200,48
56.37632251091157,200,50
58.05167561219179,200,52
60.55247196265359,200,54
62.24408230019093,200,56
64.45431497231436,200,58
66.63385160011175,200,60
68.7149376707929,200,62
70.82721293546656,200,64
72.94774109861369,200,66
75.64595727122827,200,68
77.27812278997668,200,70
79.87733095374293,200,72
81.4976713863937,200,74
84.07770324175225,200,76
85.7807983736754,200,78
87.8997462751716,200,80
90.44327075659965,200,82
92.66094888417076,200,84
94.35667867270463,200,86
96.58070238809489,200,88
99.048786865871,200,90
